=== Exact Rules (ER) ===
Rule: 30 => 39 (support: 4, confidence: 1.0)
Rule: 1842 => 39 (support: 4, confidence: 1.0)
Rule: 1868 => 48 (support: 3, confidence: 1.0)
Rule: 795 => 1819 (support: 4, confidence: 1.0)
Rule: 1819 => 795 (support: 4, confidence: 1.0)
Rule: 19 185 => 48 (support: 3, confidence: 1.0)
Rule: 1994 => 39 (support: 3, confidence: 1.0)
Rule: 2046 => 48 (support: 3, confidence: 1.0)
Rule: 2115 => 48 (support: 5, confidence: 1.0)
Rule: 2170 => 39 (support: 3, confidence: 1.0)
Rule: 2177 => 48 (support: 5, confidence: 1.0)
Rule: 2238 => 39 (support: 5, confidence: 1.0)
Rule: 2239 => 39 (support: 4, confidence: 1.0)
Rule: 39 229 => 48 (support: 5, confidence: 1.0)
Rule: 2395 => 48 (support: 3, confidence: 1.0)
Rule: 36 237 => 38 (support: 3, confidence: 1.0)
Rule: 48 236 => 39 (support: 3, confidence: 1.0)
Rule: 89 236 => 39 (support: 3, confidence: 1.0)
Rule: 41 242 => 48 (support: 4, confidence: 1.0)
Rule: 39 248 => 48 (support: 4, confidence: 1.0)
Rule: 48 248 => 39 (support: 4, confidence: 1.0)
Rule: 2559 => 48 (support: 3, confidence: 1.0)
Rule: 2573 => 48 (support: 6, confidence: 1.0)
Rule: 32 255 => 48 (support: 5, confidence: 1.0)
Rule: 38 255 => 48 (support: 4, confidence: 1.0)
Rule: 39 255 => 48 (support: 11, confidence: 1.0)
Rule: 2649 => 39 (support: 4, confidence: 1.0)
Rule: 48 264 => 39 (support: 4, confidence: 1.0)
Rule: 2728 => 48 (support: 3, confidence: 1.0)
Rule: 2764 => 48 (support: 3, confidence: 1.0)
Rule: 2769 => 39 (support: 4, confidence: 1.0)
Rule: 2800 => 48 (support: 4, confidence: 1.0)
Rule: 39 281 => 38 (support: 5, confidence: 1.0)
Rule: 2867 => 48 (support: 4, confidence: 1.0)
Rule: 48 286 => 38 (support: 7, confidence: 1.0)
Rule: 3042 => 39 (support: 3, confidence: 1.0)
Rule: 39 301 => 41 (support: 3, confidence: 1.0)
Rule: 32 310 => 39 (support: 3, confidence: 1.0)
Rule: 89 310 => 39 (support: 5, confidence: 1.0)
Rule: 3189 => 48 (support: 3, confidence: 1.0)
Rule: 3294 => 48 (support: 3, confidence: 1.0)
Rule: 39 325 => 48 (support: 4, confidence: 1.0)
Rule: 48 325 => 39 (support: 4, confidence: 1.0)
Rule: 3330 => 48 (support: 3, confidence: 1.0)
Rule: 237 310 => 39 (support: 4, confidence: 1.0)
Rule: 41 338 => 39 (support: 6, confidence: 1.0)
Rule: 48 338 => 39 (support: 7, confidence: 1.0)
Rule: 3467 => 48 (support: 3, confidence: 1.0)
Rule: 41 345 => 48 (support: 6, confidence: 1.0)
Rule: 3541 => 39 (support: 5, confidence: 1.0)
Rule: 39 370 => 38 (support: 4, confidence: 1.0)
Rule: 3742 => 41 (support: 3, confidence: 1.0)
Rule: 39 371 => 38 (support: 5, confidence: 1.0)
Rule: 48 371 => 38 (support: 4, confidence: 1.0)
Rule: 3761 => 48 (support: 3, confidence: 1.0)
Rule: 32 374 => 39 (support: 3, confidence: 1.0)
Rule: 41 374 => 39 (support: 3, confidence: 1.0)
Rule: 48 374 => 39 (support: 4, confidence: 1.0)
Rule: 3827 => 39 (support: 3, confidence: 1.0)
Rule: 39 379 => 41 (support: 4, confidence: 1.0)
Rule: 48 379 => 41 (support: 3, confidence: 1.0)
Rule: 3964 => 39 (support: 4, confidence: 1.0)
Rule: 32 396 => 39 (support: 3, confidence: 1.0)
Rule: 48 398 => 39 (support: 3, confidence: 1.0)
Rule: 4121 => 48 (support: 3, confidence: 1.0)
Rule: 4144 => 48 (support: 3, confidence: 1.0)
Rule: 38 413 => 39 (support: 3, confidence: 1.0)
Rule: 4294 => 39 (support: 3, confidence: 1.0)
Rule: 39 425 => 48 (support: 3, confidence: 1.0)
Rule: 39 426 => 48 (support: 3, confidence: 1.0)
Rule: 48 426 => 39 (support: 3, confidence: 1.0)
Rule: 32 36 39 => 38 (support: 3, confidence: 1.0)
Rule: 4316 => 39 (support: 3, confidence: 1.0)
Rule: 38 438 => 39 (support: 5, confidence: 1.0)
Rule: 19 438 => 48 (support: 3, confidence: 1.0)
Rule: 4498 => 48 (support: 4, confidence: 1.0)
Rule: 36 39 41 => 38 (support: 10, confidence: 1.0)
Rule: 4731 => 65 (support: 3, confidence: 1.0)
Rule: 4833 => 48 (support: 3, confidence: 1.0)
Rule: 490 => 32 39 (support: 3, confidence: 1.0)
Rule: 4976 => 39 (support: 3, confidence: 1.0)
Rule: 5164 => 39 (support: 4, confidence: 1.0)
Rule: 36 39 48 => 38 (support: 11, confidence: 1.0)
Rule: 37 39 48 => 38 (support: 5, confidence: 1.0)
Rule: 36 41 48 => 38 (support: 9, confidence: 1.0)
Rule: 37 41 48 => 38 (support: 3, confidence: 1.0)
Rule: 41 533 => 39 (support: 5, confidence: 1.0)
Rule: 39 535 => 48 (support: 3, confidence: 1.0)
Rule: 48 535 => 39 (support: 3, confidence: 1.0)
Rule: 32 49 => 39 48 (support: 3, confidence: 1.0)
Rule: 5439 => 39 (support: 3, confidence: 1.0)
Rule: 566 => 39 48 (support: 3, confidence: 1.0)
Rule: 310 544 => 48 (support: 3, confidence: 1.0)
Rule: 32 581 => 48 (support: 3, confidence: 1.0)
Rule: 32 589 => 38 (support: 3, confidence: 1.0)
Rule: 38 589 => 32 (support: 3, confidence: 1.0)
Rule: 41 591 => 48 (support: 3, confidence: 1.0)
Rule: 48 591 => 41 (support: 3, confidence: 1.0)
Rule: 32 592 => 39 (support: 4, confidence: 1.0)
Rule: 41 592 => 39 (support: 4, confidence: 1.0)
Rule: 39 604 => 48 (support: 3, confidence: 1.0)
Rule: 48 604 => 39 (support: 3, confidence: 1.0)
Rule: 38 56 => 39 48 (support: 3, confidence: 1.0)
Rule: 6173 => 39 (support: 3, confidence: 1.0)
Rule: 32 649 => 39 (support: 3, confidence: 1.0)
Rule: 41 664 => 39 (support: 5, confidence: 1.0)
Rule: 41 677 => 39 (support: 4, confidence: 1.0)
Rule: 32 41 65 => 39 (support: 4, confidence: 1.0)
Rule: 38 41 65 => 39 (support: 3, confidence: 1.0)
Rule: 48 694 => 39 (support: 3, confidence: 1.0)
Rule: 7062 => 48 (support: 3, confidence: 1.0)
Rule: 7373 => 39 (support: 3, confidence: 1.0)
Rule: 734 => 41 48 (support: 3, confidence: 1.0)
Rule: 32 740 => 39 (support: 3, confidence: 1.0)
Rule: 39 751 => 48 (support: 3, confidence: 1.0)
Rule: 48 751 => 39 (support: 3, confidence: 1.0)
Rule: 39 766 => 48 (support: 3, confidence: 1.0)
Rule: 41 766 => 48 (support: 3, confidence: 1.0)
Rule: 41 772 => 39 (support: 3, confidence: 1.0)
Rule: 32 798 => 48 (support: 3, confidence: 1.0)
Rule: 39 798 => 48 (support: 3, confidence: 1.0)
Rule: 39 824 => 41 (support: 5, confidence: 1.0)
Rule: 41 824 => 39 (support: 5, confidence: 1.0)
Rule: 38 41 78 => 48 (support: 5, confidence: 1.0)
Rule: 41 48 79 => 39 (support: 4, confidence: 1.0)
Rule: 39 41 79 => 48 (support: 4, confidence: 1.0)
Rule: 39 840 => 38 (support: 3, confidence: 1.0)
Rule: 41 840 => 38 (support: 3, confidence: 1.0)
Rule: 48 840 => 38 (support: 4, confidence: 1.0)
Rule: 48 65 78 => 39 (support: 3, confidence: 1.0)
Rule: 39 65 78 => 48 (support: 3, confidence: 1.0)
Rule: 48 865 => 39 (support: 4, confidence: 1.0)
Rule: 913 => 39 48 (support: 3, confidence: 1.0)
Rule: 41 916 => 48 (support: 3, confidence: 1.0)
Rule: 48 916 => 41 (support: 3, confidence: 1.0)
Rule: 32 48 89 => 39 (support: 3, confidence: 1.0)
Rule: 41 48 89 => 39 (support: 6, confidence: 1.0)
Rule: 32 947 => 48 (support: 3, confidence: 1.0)
Rule: 39 947 => 48 (support: 4, confidence: 1.0)
Rule: 9569 => 39 (support: 3, confidence: 1.0)
Rule: 39 961 => 32 (support: 3, confidence: 1.0)
Rule: 48 963 => 39 (support: 4, confidence: 1.0)
Rule: 39 974 => 48 (support: 3, confidence: 1.0)
Rule: 48 989 => 39 (support: 4, confidence: 1.0)
Rule: 48 1010 => 39 (support: 4, confidence: 1.0)
Rule: 39 1010 => 48 (support: 4, confidence: 1.0)
Rule: 41 1020 => 48 (support: 4, confidence: 1.0)
Rule: 10423 => 48 (support: 4, confidence: 1.0)
Rule: 10444 => 39 (support: 3, confidence: 1.0)
Rule: 32 1043 => 39 (support: 3, confidence: 1.0)
Rule: 10481 => 48 (support: 3, confidence: 1.0)
Rule: 10553 => 39 (support: 4, confidence: 1.0)
Rule: 10573 => 78 (support: 3, confidence: 1.0)
Rule: 38 48 101 => 39 (support: 4, confidence: 1.0)
Rule: 41 1062 => 39 (support: 3, confidence: 1.0)
Rule: 32 39 105 => 38 (support: 4, confidence: 1.0)
Rule: 32 41 105 => 38 (support: 3, confidence: 1.0)
Rule: 39 41 105 => 38 (support: 4, confidence: 1.0)
Rule: 48 105 => 38 41 (support: 3, confidence: 1.0)
Rule: 39 1135 => 48 (support: 7, confidence: 1.0)
Rule: 41 1135 => 48 (support: 6, confidence: 1.0)
Rule: 32 39 110 => 38 (support: 4, confidence: 1.0)
Rule: 39 41 110 => 38 (support: 11, confidence: 1.0)
Rule: 32 48 110 => 38 (support: 4, confidence: 1.0)
Rule: 39 48 110 => 38 (support: 10, confidence: 1.0)
Rule: 41 48 110 => 38 (support: 8, confidence: 1.0)
Rule: 39 1209 => 48 (support: 4, confidence: 1.0)
Rule: 39 1232 => 48 (support: 3, confidence: 1.0)
Rule: 12473 => 39 (support: 3, confidence: 1.0)
Rule: 12693 => 48 (support: 4, confidence: 1.0)
Rule: 13017 => 39 (support: 6, confidence: 1.0)
Rule: 13088 => 39 (support: 3, confidence: 1.0)
Rule: 13152 => 48 (support: 3, confidence: 1.0)
Rule: 32 1395 => 48 (support: 3, confidence: 1.0)
Rule: 39 1395 => 48 (support: 3, confidence: 1.0)
Rule: 39 1404 => 48 (support: 3, confidence: 1.0)
Rule: 1425 => 39 48 (support: 4, confidence: 1.0)
Rule: 14966 => 39 (support: 3, confidence: 1.0)
Rule: 15119 => 39 (support: 4, confidence: 1.0)
Rule: 1529 => 38 39 (support: 6, confidence: 1.0)
Rule: 48 1543 => 39 (support: 3, confidence: 1.0)
Rule: 48 1557 => 39 (support: 3, confidence: 1.0)
Rule: 15818 => 48 (support: 4, confidence: 1.0)
Rule: 41 1578 => 39 (support: 3, confidence: 1.0)
Rule: 48 1578 => 39 (support: 4, confidence: 1.0)
Rule: 38 1600 => 39 (support: 3, confidence: 1.0)
Rule: 39 1619 => 48 (support: 3, confidence: 1.0)
Rule: 41 1629 => 48 (support: 3, confidence: 1.0)
Rule: 50 => 16430 (support: 6, confidence: 1.0)
Rule: 610 => 16430 (support: 3, confidence: 1.0)
Rule: 708 => 16430 (support: 3, confidence: 1.0)
Rule: 763 => 16430 (support: 3, confidence: 1.0)
Rule: 1012 => 16430 (support: 3, confidence: 1.0)
Rule: 1048 => 16430 (support: 3, confidence: 1.0)
Rule: 1196 => 16430 (support: 3, confidence: 1.0)
Rule: 1812 => 16430 (support: 5, confidence: 1.0)
Rule: 1878 => 16430 (support: 3, confidence: 1.0)
Rule: 38 48 161 => 39 (support: 3, confidence: 1.0)
Rule: 1964 => 16430 (support: 4, confidence: 1.0)
Rule: 2199 => 16430 (support: 4, confidence: 1.0)
Rule: 2286 => 16430 (support: 3, confidence: 1.0)
Rule: 3394 => 16430 (support: 3, confidence: 1.0)
Rule: 3465 => 16430 (support: 3, confidence: 1.0)
Rule: 3546 => 16430 (support: 3, confidence: 1.0)
Rule: 15497 => 12925 (support: 3, confidence: 1.0)
Rule: 5169 => 16430 (support: 3, confidence: 1.0)
Rule: 48 1714 => 39 (support: 3, confidence: 1.0)
Rule: 39 1714 => 48 (support: 3, confidence: 1.0)
Rule: 1727 => 38 39 (support: 5, confidence: 1.0)
Rule: 10129 => 16430 (support: 4, confidence: 1.0)
Rule: 32 41 170 => 38 (support: 5, confidence: 1.0)
Rule: 39 41 170 => 38 (support: 8, confidence: 1.0)
Rule: 32 48 170 => 38 (support: 4, confidence: 1.0)
Rule: 39 48 170 => 38 (support: 9, confidence: 1.0)
Rule: 41 48 170 => 38 (support: 8, confidence: 1.0)
Rule: 15273 => 16430 (support: 8, confidence: 1.0)
Rule: 39 1814 => 48 (support: 3, confidence: 1.0)
Rule: 41 1814 => 48 (support: 3, confidence: 1.0)
Rule: 41 1837 => 39 (support: 3, confidence: 1.0)
Rule: 32 1842 => 39 (support: 3, confidence: 1.0)
Rule: 39 1929 => 48 (support: 3, confidence: 1.0)
Rule: 48 1951 => 39 (support: 3, confidence: 1.0)
Rule: 39 2051 => 41 (support: 3, confidence: 1.0)
Rule: 41 2051 => 39 (support: 3, confidence: 1.0)
Rule: 32 2058 => 39 (support: 3, confidence: 1.0)
Rule: 39 2058 => 32 (support: 3, confidence: 1.0)
Rule: 41 2065 => 39 (support: 4, confidence: 1.0)
Rule: 39 2115 => 48 (support: 4, confidence: 1.0)
Rule: 39 2177 => 48 (support: 3, confidence: 1.0)
Rule: 41 2238 => 39 (support: 3, confidence: 1.0)
Rule: 48 2239 => 39 (support: 3, confidence: 1.0)
Rule: 38 225 => 41 48 (support: 4, confidence: 1.0)
Rule: 39 2327 => 41 (support: 3, confidence: 1.0)
Rule: 41 2327 => 39 (support: 3, confidence: 1.0)
Rule: 41 229 => 39 48 (support: 4, confidence: 1.0)
Rule: 41 2343 => 39 (support: 4, confidence: 1.0)
Rule: 38 2344 => 32 (support: 3, confidence: 1.0)
Rule: 41 2344 => 48 (support: 3, confidence: 1.0)
Rule: 310 2344 => 39 (support: 3, confidence: 1.0)
Rule: 38 41 237 => 39 (support: 9, confidence: 1.0)
Rule: 39 41 237 => 38 (support: 9, confidence: 1.0)
Rule: 38 48 237 => 39 (support: 7, confidence: 1.0)
Rule: 48 2425 => 39 (support: 3, confidence: 1.0)
Rule: 39 2464 => 48 (support: 3, confidence: 1.0)
Rule: 48 2464 => 39 (support: 3, confidence: 1.0)
Rule: 32 41 242 => 48 (support: 3, confidence: 1.0)
Rule: 39 41 242 => 48 (support: 3, confidence: 1.0)
Rule: 48 2468 => 39 (support: 4, confidence: 1.0)
Rule: 39 41 249 => 48 (support: 3, confidence: 1.0)
Rule: 41 48 249 => 39 (support: 3, confidence: 1.0)
Rule: 39 2573 => 48 (support: 4, confidence: 1.0)
Rule: 32 39 255 => 48 (support: 4, confidence: 1.0)
Rule: 38 39 255 => 48 (support: 3, confidence: 1.0)
Rule: 41 255 => 39 48 (support: 3, confidence: 1.0)
Rule: 41 2673 => 39 (support: 3, confidence: 1.0)
Rule: 39 2723 => 48 (support: 3, confidence: 1.0)
Rule: 48 2769 => 39 (support: 3, confidence: 1.0)
Rule: 39 2800 => 48 (support: 3, confidence: 1.0)
Rule: 39 48 279 => 41 (support: 3, confidence: 1.0)
Rule: 41 279 => 39 48 (support: 3, confidence: 1.0)
Rule: 39 2853 => 48 (support: 3, confidence: 1.0)
Rule: 69 2853 => 48 (support: 3, confidence: 1.0)
Rule: 48 281 => 38 39 (support: 3, confidence: 1.0)
Rule: 38 2879 => 48 (support: 3, confidence: 1.0)
Rule: 32 286 => 38 41 (support: 3, confidence: 1.0)
Rule: 39 48 286 => 38 (support: 6, confidence: 1.0)
Rule: 41 3006 => 48 (support: 3, confidence: 1.0)
Rule: 48 3006 => 41 (support: 3, confidence: 1.0)
Rule: 41 48 310 => 39 (support: 6, confidence: 1.0)
Rule: 39 3151 => 48 (support: 3, confidence: 1.0)
Rule: 48 3151 => 39 (support: 3, confidence: 1.0)
Rule: 48 89 310 => 39 (support: 3, confidence: 1.0)
Rule: 39 3270 => 48 (support: 6, confidence: 1.0)
Rule: 41 3270 => 48 (support: 5, confidence: 1.0)
Rule: 41 48 338 => 39 (support: 5, confidence: 1.0)
Rule: 3311 => 795 1819 (support: 3, confidence: 1.0)
Rule: 39 41 345 => 48 (support: 3, confidence: 1.0)
Rule: 48 3541 => 39 (support: 4, confidence: 1.0)
Rule: 41 371 => 38 39 (support: 4, confidence: 1.0)
Rule: 39 3762 => 48 (support: 3, confidence: 1.0)
Rule: 48 3762 => 39 (support: 3, confidence: 1.0)
Rule: 4209 => 39 48 (support: 3, confidence: 1.0)
Rule: 4325 => 32 48 (support: 3, confidence: 1.0)
Rule: 4336 => 39 48 (support: 3, confidence: 1.0)
Rule: 4207 => 48 1486 (support: 3, confidence: 1.0)
Rule: 4417 => 39 41 (support: 3, confidence: 1.0)
Rule: 38 48 438 => 39 (support: 4, confidence: 1.0)
Rule: 41 4498 => 48 (support: 3, confidence: 1.0)
Rule: 38 4883 => 48 (support: 4, confidence: 1.0)
Rule: 38 5164 => 39 (support: 3, confidence: 1.0)
Rule: 48 5164 => 39 (support: 3, confidence: 1.0)
Rule: 36 39 41 48 => 38 (support: 7, confidence: 1.0)
Rule: 5507 => 39 48 (support: 3, confidence: 1.0)
Rule: 5789 => 39 41 (support: 3, confidence: 1.0)
Rule: 41 48 664 => 39 (support: 3, confidence: 1.0)
Rule: 89 664 => 39 48 (support: 3, confidence: 1.0)
Rule: 38 39 677 => 41 (support: 3, confidence: 1.0)
Rule: 38 41 677 => 39 (support: 3, confidence: 1.0)
Rule: 41 48 677 => 39 (support: 3, confidence: 1.0)
Rule: 78 681 => 39 48 (support: 4, confidence: 1.0)
Rule: 533 649 => 39 41 (support: 3, confidence: 1.0)
Rule: 39 7895 => 48 (support: 3, confidence: 1.0)
Rule: 39 8068 => 38 (support: 4, confidence: 1.0)
Rule: 41 8068 => 38 (support: 5, confidence: 1.0)
Rule: 41 48 824 => 39 (support: 4, confidence: 1.0)
Rule: 39 48 824 => 41 (support: 4, confidence: 1.0)
Rule: 36 78 => 38 41 48 (support: 4, confidence: 1.0)
Rule: 38 39 41 78 => 48 (support: 4, confidence: 1.0)
Rule: 9606 => 39 41 (support: 3, confidence: 1.0)
Rule: 967 => 39 41 48 (support: 3, confidence: 1.0)
Rule: 48 10128 => 39 (support: 3, confidence: 1.0)
Rule: 41 10446 => 39 (support: 4, confidence: 1.0)
Rule: 32 10446 => 48 (support: 5, confidence: 1.0)
Rule: 32 10448 => 48 (support: 3, confidence: 1.0)
Rule: 48 10448 => 32 (support: 3, confidence: 1.0)
Rule: 10542 => 39 41 (support: 3, confidence: 1.0)
Rule: 41 10943 => 39 (support: 3, confidence: 1.0)
Rule: 41 48 1113 => 39 (support: 3, confidence: 1.0)
Rule: 39 48 1113 => 41 (support: 3, confidence: 1.0)
Rule: 48 1062 => 39 589 (support: 3, confidence: 1.0)
Rule: 589 1062 => 39 48 (support: 3, confidence: 1.0)
Rule: 39 41 1135 => 48 (support: 4, confidence: 1.0)
Rule: 32 39 48 110 => 38 (support: 3, confidence: 1.0)
Rule: 39 41 48 110 => 38 (support: 7, confidence: 1.0)
Rule: 48 12943 => 39 (support: 4, confidence: 1.0)
Rule: 48 13017 => 39 (support: 5, confidence: 1.0)
Rule: 38 13051 => 39 (support: 3, confidence: 1.0)
Rule: 39 13051 => 38 (support: 3, confidence: 1.0)
Rule: 48 13056 => 41 (support: 3, confidence: 1.0)
Rule: 41 1872 => 12925 (support: 3, confidence: 1.0)
Rule: 1872 12925 => 41 (support: 3, confidence: 1.0)
Rule: 32 13189 => 48 (support: 6, confidence: 1.0)
Rule: 13277 => 39 41 (support: 3, confidence: 1.0)
Rule: 41 13334 => 39 (support: 4, confidence: 1.0)
Rule: 41 14098 => 39 (support: 5, confidence: 1.0)
Rule: 38 1486 => 39 41 (support: 3, confidence: 1.0)
Rule: 15205 => 39 48 (support: 3, confidence: 1.0)
Rule: 41 1529 => 38 39 (support: 5, confidence: 1.0)
Rule: 185 15345 => 32 (support: 3, confidence: 1.0)
Rule: 39 15818 => 48 (support: 3, confidence: 1.0)
Rule: 32 15879 => 48 (support: 4, confidence: 1.0)
Rule: 41 15879 => 48 (support: 9, confidence: 1.0)
Rule: 808 15879 => 48 (support: 3, confidence: 1.0)
Rule: 41 16093 => 48 (support: 3, confidence: 1.0)
Rule: 48 16093 => 41 (support: 3, confidence: 1.0)
Rule: 39 16093 => 396 (support: 3, confidence: 1.0)
Rule: 396 16093 => 39 (support: 3, confidence: 1.0)
Rule: 41 48 1609 => 39 (support: 3, confidence: 1.0)
Rule: 32 39 1609 => 65 (support: 3, confidence: 1.0)
Rule: 32 65 1609 => 39 (support: 3, confidence: 1.0)
Rule: 48 65 1609 => 39 (support: 3, confidence: 1.0)
Rule: 36 16430 => 38 (support: 10, confidence: 1.0)
Rule: 11 16430 => 41 (support: 4, confidence: 1.0)
Rule: 39 50 => 16430 (support: 3, confidence: 1.0)
Rule: 48 50 => 16430 (support: 5, confidence: 1.0)
Rule: 32 101 => 16430 (support: 3, confidence: 1.0)
Rule: 105 16430 => 38 (support: 5, confidence: 1.0)
Rule: 110 16430 => 38 (support: 17, confidence: 1.0)
Rule: 48 117 => 16430 (support: 3, confidence: 1.0)
Rule: 117 16430 => 48 (support: 3, confidence: 1.0)
Rule: 110 16431 => 38 (support: 15, confidence: 1.0)
Rule: 170 16430 => 38 (support: 9, confidence: 1.0)
Rule: 48 186 => 16430 (support: 5, confidence: 1.0)
Rule: 229 16430 => 48 (support: 3, confidence: 1.0)
Rule: 255 16430 => 48 (support: 7, confidence: 1.0)
Rule: 48 270 => 16430 (support: 8, confidence: 1.0)
Rule: 32 270 => 16431 (support: 10, confidence: 1.0)
Rule: 32 297 => 16430 (support: 5, confidence: 1.0)
Rule: 48 340 => 16430 (support: 3, confidence: 1.0)
Rule: 48 420 => 16430 (support: 3, confidence: 1.0)
Rule: 420 16430 => 48 (support: 3, confidence: 1.0)
Rule: 48 475 => 16430 (support: 5, confidence: 1.0)
Rule: 475 16430 => 48 (support: 5, confidence: 1.0)
Rule: 48 541 => 16430 (support: 3, confidence: 1.0)
Rule: 541 16430 => 48 (support: 3, confidence: 1.0)
Rule: 675 16430 => 48 (support: 3, confidence: 1.0)
Rule: 719 => 39 16430 (support: 3, confidence: 1.0)
Rule: 740 16430 => 39 (support: 3, confidence: 1.0)
Rule: 760 => 48 16430 (support: 3, confidence: 1.0)
Rule: 32 781 => 16430 (support: 4, confidence: 1.0)
